Age Group,Sex (CH),Sex,Year,Admissions
25 - 29,女,F,2013,587.0
25 - 29,男,M,2013,1176.0
30 - 34,女,F,2013,627.0
30 - 34,男,M,2013,1230.0
35 - 39,女,F,2013,595.0
35 - 39,男,M,2013,1277.0
40 - 44,女,F,2013,599.0
40 - 44,男,M,2013,1199.0
45 - 49,女,F,2013,428.0
45 - 49,男,M,2013,927.0
50 - 54,女,F,2013,264.0
50 - 54,男,M,2013,821.0
55 - 59,女,F,2013,159.0
55 - 59,男,M,2013,559.0
≧ 60,女,F,2013,119.0
≧ 60,男,M,2013,531.0
14 - 17,女,F,2014,41.0
14 - 17,男,M,2014,189.0
18 - 20,女,F,2014,68.0
18 - 20,男,M,2014,362.0
21 - 24,女,F,2014,225.0
21 - 24,男,M,2014,640.0
25 - 29,女,F,2014,469.0
25 - 29,男,M,2014,1018.0
30 - 34,女,F,2014,541.0
30 - 34,男,M,2014,1059.0
35 - 39,女,F,2014,480.0
35 - 39,男,M,2014,1210.0
40 - 44,女,F,2014,533.0
40 - 44,男,M,2014,1028.0
45 - 49,女,F,2014,379.0
45 - 49,男,M,2014,840.0
50 - 54,女,F,2014,220.0
50 - 54,男,M,2014,664.0
55 - 59,女,F,2014,135.0
55 - 59,男,M,2014,534.0
≧ 60,女,F,2014,133.0
≧ 60,男,M,2014,533.0
14 - 17,女,F,2015,25.0
14 - 17,男,M,2015,148.0
18 - 20,女,F,2015,73.0
18 - 20,男,M,2015,283.0
21 - 24,女,F,2015,194.0
21 - 24,男,M,2015,639.0
25 - 29,女,F,2015,493.0
25 - 29,男,M,2015,1059.0
30 - 34,女,F,2015,561.0
30 - 34,男,M,2015,1018.0
35 - 39,女,F,2015,516.0
35 - 39,男,M,2015,1091.0
40 - 44,女,F,2015,551.0
40 - 44,男,M,2015,1023.0
45 - 49,女,F,2015,412.0
45 - 49,男,M,2015,782.0
50 - 54,女,F,2015,278.0
50 - 54,男,M,2015,719.0
55 - 59,女,F,2015,181.0
55 - 59,男,M,2015,528.0
≧ 60,女,F,2015,200.0
≧ 60,男,M,2015,708.0
14 - 17,女,F,2016,15.0
14 - 17,男,M,2016,135.0
18 - 20,女,F,2016,59.0
18 - 20,男,M,2016,254.0
21 - 24,女,F,2016,253.0
21 - 24,男,M,2016,630.0
25 - 29,女,F,2016,545.0
25 - 29,男,M,2016,1047.0
30 - 34,女,F,2016,576.0
30 - 34,男,M,2016,1091.0
35 - 39,女,F,2016,555.0
35 - 39,男,M,2016,1188.0
40 - 44,女,F,2016,578.0
40 - 44,男,M,2016,1135.0
45 - 49,女,F,2016,412.0
45 - 49,男,M,2016,867.0
50 - 54,女,F,2016,297.0
50 - 54,男,M,2016,698.0
55 - 59,女,F,2016,159.0
55 - 59,男,M,2016,568.0
≧ 60,女,F,2016,218.0
≧ 60,男,M,2016,700.0
14 - 17,女,F,2017,19.0
14 - 17,男,M,2017,82.0
18 - 20,女,F,2017,49.0
18 - 20,男,M,2017,195.0
21 - 24,女,F,2017,205.0
21 - 24,男,M,2017,566.0
25 - 29,女,F,2017,391.0
