Age Group (CH),Sex (CH),Sex (EN),Year,Number of Persons
16 - 20,女,F,2014,532.0
16 - 20,男,M,2014,2282.0
21 - 24,女,F,2014,622.0
21 - 24,男,M,2014,2002.0
25 - 29,女,F,2014,880.0
25 - 29,男,M,2014,2687.0
30 - 34,女,F,2014,1023.0
30 - 34,男,M,2014,2667.0
35 - 39,女,F,2014,1048.0
35 - 39,男,M,2014,2790.0
40 - 44,女,F,2014,1167.0
40 - 44,男,M,2014,2433.0
45 - 49,女,F,2014,959.0
45 - 49,男,M,2014,1879.0
50 - 54,女,F,2014,911.0
50 - 54,男,M,2014,1885.0
55 - 59,女,F,2014,810.0
55 - 59,男,M,2014,1693.0
≧ 60,女,F,2014,1488.0
≧ 60,男,M,2014,2411.0
≦ 15,女,F,2015,333.0
≦ 15,男,M,2015,976.0
16 - 20,女,F,2015,505.0
16 - 20,男,M,2015,2321.0
21 - 24,女,F,2015,545.0
21 - 24,男,M,2015,2169.0
25 - 29,女,F,2015,891.0
25 - 29,男,M,2015,2853.0
30 - 34,女,F,2015,1057.0
30 - 34,男,M,2015,2724.0
35 - 39,女,F,2015,1104.0
35 - 39,男,M,2015,2793.0
40 - 44,女,F,2015,1158.0
40 - 44,男,M,2015,2477.0
45 - 49,女,F,2015,988.0
45 - 49,男,M,2015,1944.0
50 - 54,女,F,2015,894.0
50 - 54,男,M,2015,1837.0
55 - 59,女,F,2015,742.0
55 - 59,男,M,2015,1570.0
≧ 60,女,F,2015,1474.0
≧ 60,男,M,2015,2423.0
≦ 15,女,F,2016,241.0
≦ 15,男,M,2016,833.0
16 - 20,女,F,2016,444.0
16 - 20,男,M,2016,1848.0
21 - 24,女,F,2016,628.0
21 - 24,男,M,2016,2076.0
25 - 29,女,F,2016,891.0
25 - 29,男,M,2016,2794.0
30 - 34,女,F,2016,1021.0
30 - 34,男,M,2016,2871.0
35 - 39,女,F,2016,1122.0
35 - 39,男,M,2016,2823.0
40 - 44,女,F,2016,1213.0
40 - 44,男,M,2016,2527.0
45 - 49,女,F,2016,927.0
45 - 49,男,M,2016,1905.0
50 - 54,女,F,2016,938.0
50 - 54,男,M,2016,1724.0
55 - 59,女,F,2016,756.0
55 - 59,男,M,2016,1569.0
≧ 60,女,F,2016,1528.0
≧ 60,男,M,2016,2563.0
≦ 15,女,F,2017,209.0
≦ 15,男,M,2017,719.0
16 - 20,女,F,2017,366.0
16 - 20,男,M,2017,1438.0
21 - 24,女,F,2017,506.0
21 - 24,男,M,2017,1722.0
25 - 29,女,F,2017,794.0
25 - 29,男,M,2017,2542.0
30 - 34,女,F,2017,970.0
30 - 34,男,M,2017,2483.0
35 - 39,女,F,2017,1103.0
35 - 39,男,M,2017,2454.0
40 - 44,女,F,2017,1000.0
40 - 44,男,M,2017,2294.0
45 - 49,女,F,2017,997.0
45 - 49,男,M,2017,1928.0
50 - 54,女,F,2017,822.0
50 - 54,男,M,2017,1581.0
55 - 59,女,F,2017,660.0
55 - 59,男,M,2017,1541.0
≧ 60,女,F,2017,1575.0
≧ 60,男,M,2017,2662.0
≦ 15,女,F,2018,171.0
≦ 15,男,M,2018,757.0
16 - 20,女,F,2018,337.0
16 - 20,男,M,2018,1504.0
21 - 24,女,F,2018,473.0
21 - 24,男,M,2018,1751.0
25 - 29,女,F,2018,702.0
25 - 29,男,M,2018,2474.0
30 - 34,女,F,2018,873.0
30 - 34,男,M,2018,2370.0
35 - 39,女,F,2018,1030.0
35 - 39,男,M,2018,2415.0
40 - 44,女,F,2018,946.0
40 - 44,男,M,2018,2278.0
45 - 49,女,F,2018,874.0
45 - 49,男,M,2018,1887.0
50 - 54,女,F,2018,752.0
50 - 54,男,M,2018,1460.0
55 - 59,女,F,2018,709.0
55 - 59,男,M,2018,1385.0
≧ 60,女,F,2018,1283.0
≧ 60,男,M,2018,2535.0
≦ 15,女,F,2019,291.0
≦ 15,男,M,2019,849.0
16 - 20,女,F,2019,723.0
16 - 20,男,M,2019,2405.0
21 - 24,女,F,2019,732.0
21 - 24,男,M,2019,2298.0
25 - 29,女,F,2019,794.0
25 - 29,男,M,2019,2508.0
30 - 34,女,F,2019,811.0
30 - 34,男,M,2019,2146.0
35 - 39,女,F,2019,779.0
35 - 39,男,M,2019,1942.0
40 - 44,女,F,2019,793.0
40 - 44,男,M,2019,1778.0
45 - 49,女,F,2019,786.0
45 - 49,男,M,2019,1551.0
50 - 54,女,F,2019,634.0
50 - 54,男,M,2019,1157.0
55 - 59,女,F,2019,570.0
55 - 59,男,M,2019,1155.0
≧ 60,女,F,2019,1184.0
≧ 60,男,M,2019,2172.0
≦ 15,女,F,2020,363.0
≦ 15,男,M,2020,855.0
16 - 20,女,F,2020,578.0
16 - 20,男,M,2020,2191.0
21 - 24,女,F,2020,537.0
21 - 24,男,M,2020,1972.0
25 - 29,女,F,2020,1020.0
25 - 29,男,M,2020,2619.0
30 - 34,女,F,2020,782.0
30 - 34,男,M,2020,2439.0
35 - 39,女,F,2020,811.0
35 - 39,男,M,2020,2226.0
40 - 44,女,F,2020,831.0
40 - 44,男,M,2020,2034.0
45 - 49,女,F,2020,825.0
45 - 49,男,M,2020,1687.0
50 - 54,女,F,2020,728.0
50 - 54,男,M,2020,1286.0
55 - 59,女,F,2020,691.0
55 - 59,男,M,2020,1201.0
≧ 60,女,F,2020,1441.0
≧ 60,男,M,2020,2448.0
≦ 15,女,F,2021,207.0
≦ 15,男,M,2021,907.0
16 - 20,女,F,2021,344.0
16 - 20,男,M,2021,1563.0
21 - 24,女,F,2021,436.0
21 - 24,男,M,2021,1623.0
25 - 29,女,F,2021,661.0
25 - 29,男,M,2021,2634.0
30 - 34,女,F,2021,837.0
30 - 34,男,M,2021,2544.0
35 - 39,女,F,2021,978.0
35 - 39,男,M,2021,2258.0
40 - 44,女,F,2021,978.0
40 - 44,男,M,2021,2152.0
45 - 49,女,F,2021,966.0
45 - 49,男,M,2021,1894.0
50 - 54,女,F,2021,802.0
50 - 54,男,M,2021,1358.0
55 - 59,女,F,2021,691.0
55 - 59,男,M,2021,1266.0
≧ 60,女,F,2021,1460.0
≧ 60,男,M,2021,2659.0
≦ 15,女,F,2022,170.0
≦ 15,男,M,2022,815.0
16 - 20,女,F,2022,290.0
16 - 20,男,M,2022,1499.0
21 - 24,女,F,2022,374.0
21 - 24,男,M,2022,1638.0
25 - 29,女,F,2022,719.0
25 - 29,男,M,2022,2560.0
30 - 34,女,F,2022,782.0
30 - 34,男,M,2022,2483.0
35 - 39,女,F,2022,942.0
35 - 39,男,M,2022,2310.0
40 - 44,女,F,2022,1049.0
40 - 44,男,M,2022,2140.0
45 - 49,女,F,2022,1003.0
45 - 49,男,M,2022,1788.0
50 - 54,女,F,2022,834.0
50 - 54,男,M,2022,1465.0
55 - 59,女,F,2022,702.0
55 - 59,男,M,2022,1178.0
≧ 60,女,F,2022,1484.0
≧ 60,男,M,2022,2604.0
≦ 15,女,F,2023,203.0
≦ 15,男,M,2023,832.0
16 - 20,女,F,2023,325.0
16 - 20,男,M,2023,1681.0
21 - 24,女,F,2023,484.0
21 - 24,男,M,2023,1800.0
25 - 29,女,F,2023,860.0
25 - 29,男,M,2023,2816.0
30 - 34,女,F,2023,1051.0
30 - 34,男,M,2023,3115.0
35 - 39,女,F,2023,1271.0
35 - 39,男,M,2023,2758.0
40 - 44,女,F,2023,1285.0
40 - 44,男,M,2023,2605.0
45 - 49,女,F,2023,1122.0
45 - 49,男,M,2023,2250.0
50 - 54,女,F,2023,956.0
50 - 54,男,M,2023,1762.0
55 - 59,女,F,2023,726.0
55 - 59,男,M,2023,1336.0
≧ 60,女,F,2023,1723.0
≧ 60,男,M,2023,3174.0
≦ 15,女,F,2024,178.0
≦ 15,男,M,2024,768.0
16 - 20,女,F,2024,330.0
16 - 20,男,M,2024,1564.0
21 - 24,女,F,2024,486.0
21 - 24,男,M,2024,1787.0
25 - 29,女,F,2024,870.0
25 - 29,男,M,2024,2726.0
30 - 34,女,F,2024,1223.0
30 - 34,男,M,2024,3366.0
35 - 39,女,F,2024,1194.0
35 - 39,男,M,2024,3186.0
40 - 44,女,F,2024,1320.0
40 - 44,男,M,2024,2773.0
45 - 49,女,F,2024,1179.0
45 - 49,男,M,2024,2476.0
50 - 54,女,F,2024,1033.0
50 - 54,男,M,2024,1920.0
55 - 59,女,F,2024,857.0
55 - 59,男,M,2024,1411.0
≧ 60,女,F,2024,2016.0
≧ 60,男,M,2024,3606.0
